"review_title","review_text","review_star","veri","revdate","nhelpful1","page_num"
"







  
  
    Better than crosswave cordless max !
  
","









  
  
    
  Literally the best cleaning device ever! SO much better than the original crosswave or the cordless max. After cleaning the whole house the battery still had 30% left. Wiped the floor with a paper towel after to see and it was barely even dirty. Highly recommend !!!

  
","5.0 out of 5 stars","1","February 8, 2021",NA,"127"
"







  
  
    Can't complain, too much
  
","









  
  
    
  Works amazing for everyday cleaning of the hard floors we have! Doesn't work so great on the old laminate floors we have as they are more grooved but thats not the tinecos fault! Just crappy flooring. The clean water tank does leak UNLEES you actually push the floater down from inside the tank with something or your finger. Super annoying but still, once figured out, I can deal with it.

  
","4.0 out of 5 stars","1","October 22, 2020",NA,"127"
"







  
  
    A wonderful device that has brought back my sanity after toddler eating sessions
  
","









  
  
    
  This water vacuum replaces both a mop and vacuum cleaner when cleaning hardwood floors after toddlers eating, especially with any soupy foods and juice spills, there really is no replacement

  
","5.0 out of 5 stars","1","September 10, 2021",NA,"127"
"







  
  
    Bad experiences
  
","


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    

   I just bought 10 months and it was not work for 2 months ago. I called for support, they ignored me. It is with  2 years warranty .

  
","1.0 out of 5 stars","1","July 14, 2021","1","127"
"







  
  
    Stopped working after 4.5 months.
  
","









  
  
    
  Like the other 1 star reviews, this worked great until it decided to stop charging after 4 months. Unacceptable.

  
","1.0 out of 5 stars","1","March 14, 2021","1","127"
"







  
  
    Game Changer
  
","









  
  
    
  For me, this is a game changer. No more bulky vacuum and pain in the but: mop and bucket. I love this thing!!! If you have a big house you may need two of these vacuums  or be fast at vacuuming. This thing will save my back.

  
","5.0 out of 5 stars","1","December 16, 2021",NA,"127"
"







  
  
    I want to love it.
  
","









  
  
    
  I love the idea of this vacuum/mop! The suction is great and it cleans up quickly. My problem is that if I don’t immediately clean the tank, the brush roller and the debris channel after each use, it smells awful!!! I want to be able to use it for quick clean ups and it’s definitely not quick if I have to deep clean the unit every time I use it.

  
","3.0 out of 5 stars","1","August 26, 2021",NA,"127"
"







  
  
    Love it!
  
","









  
  
    
  Mine wouldn't work when I first got it, but customer service is very easy to work with. I love the fact that I won't be cleaning my floors on my hands and knees anymore. I've tried it on my hardwoods and linoleum,  but haven't tried it on the tile yet.

  
","5.0 out of 5 stars","1","November 25, 2020",NA,"127"
"







  
  
    Excellent Hard Floor Cleaner
  
","









  
  
    
  Went with this one as opposed to the Bissel. Glad I did. Good quality cleaner easy to operate, Super light weight, Easy to clean. Self cleaning mode works good. I would recommend this product.

  
","5.0 out of 5 stars","1","August 15, 2021",NA,"127"
"







  
  
    Only 3
  
","









  
  
    
  I liked this product, but it already started to malfunction after only six months.  I did use it a lot, but now it just keeps repeating, “clean water tank,” even though I emptied it. The glitch keeps me from being able to use it.  Sad.

  
","3.0 out of 5 stars","1","August 29, 2021",NA,"127"
"







  
  
    Beautiful floors! Wish it had a bigger DWT.
  
","









  
  
    
  The vacuum leaves my floors looking beautiful!  The smell of the cleaner is amazing.The only thing I wish is that it could go longer without needing to run a self cleaning cycle.  I clean the Family room, front room, kitchen and hallway regularly and I can only get halfway through before having to run self cleaning cycle.  I feel I need to order more filters since the instructions say that you are supposed to use a dry clean filter when using the vacuum.

  
","4.0 out of 5 stars","1","May 27, 2021",NA,"100"
"







  
  
    Amazing
  
","









  
  
    
  I have used this already 5 times since purchase, I really wanted to test it out but I'm really content with this product and recommend it. I have moved away from using a mop because this picks up even the littlest dirt from the follow, I currently have tile and it works perfectly.

  
","5.0 out of 5 stars","1","July 14, 2021",NA,"100"
"







  
  
    It is still a good machine with two improvement,No Machine Will beat this machine.
  
","









  
  
    
  This is the best machine for wet cleaning . There cannot be a better machine then this,Little improvement they can do is make the handle little longer, and suction power should be a little more so it does not leave any water on the floor otherwise it is the best machine with an excellent idea.

  
","5.0 out of 5 stars","1","July 19, 2021",NA,"100"
"







  
  
    Amazing Machine!
  
","









  
  
    
  I’ve been wanting this vacuum/mop for a long time and am so happy with it. I absolutely dreaded mopping my floors before and now I actually enjoy it! I love knowing I’m not just pushing the dirt around like I was with my old mop. You can tell by the water, and the look of your floors, that they’re actually clean! It is so light weight and easy to use. Really an amazing product.

  
","5.0 out of 5 stars","1","January 23, 2021",NA,"100"
"







  
  
    My floors have never been cleaner!!!
  
","









  
  
    
  This wet mop/vacuum is amazing!! Well worth the price! My floors have never looked so clean!! I struggled to find the right wet mop to use on our hard wood floors. I’ve tried a steam mop, swifter, regular mop and bucket. This is quick and smart too!!  I’m a mom of 3 babies under 3 so this is a necessary item to have in our household.

  
","5.0 out of 5 stars","1","February 6, 2021","1","100"
"







  
  
    The Best Floor Cleaner for Tile
  
","









  
  
    
  Awesome! I couldn’t get my floors streak free with the Bessel cordless and paid $400 for it. Tenico is a wonderful product and my floors are streak free and clean. My whole house is tile do I just brought another one so I could do all floors in one day. Best product ever snd I am disposing my Bessel !!!!!

  
","5.0 out of 5 stars","1","May 5, 2021",NA,"100"
